Date;AC.PA;ACA.PA;ADP.PA;AI.PA;AIR.PA;ATO.PA;BN.PA;BNP.PA;CA.PA;CAP.PA;CDI.PA;CNP.PA;CS.PA;DG.PA;DSY.PA;EDF.PA;EI.PA;EN.PA;ENGI.PA;FP.PA;FR.PA;GFC.PA;GLE.PA;HO.PA;HSB.PA;IAM.PA;ILD.PA;KER.PA;KN.PA;LI.PA;LR.PA;MC.PA;ML.PA;OR.PA;ORA.PA;PUB.PA;RI.PA;RMS.PA;RNO.PA;SAF.PA;SAN.PA;SGO.PA;SLB.PA;SOLB.BR;STM.PA;SU.PA;SW.PA;UG.PA;VIE.PA;VIV.PA
2010-01-04;22.326075;9.936727000000001;47.027763;50.577084;12.437354;30.498781;35.031096999999995;42.603958;26.818718;27.799234000000002;62.442257;9.308553999999999;10.88927;29.339160999999997;18.094676999999997;25.513008;37.313087;22.9739;16.985512;29.41058;6.648811;51.568859;40.45071;29.387690000000003;4.944225;0.00020299999999999997;81.672913;71.715576;2.539806;20.005932;16.880499;66.18959;41.937305;68.60105899999999;10.253588;24.808203;52.291084000000005;86.806038;31.505499;11.785363;21.312815;30.720093;37.519619;54.090031;4.200039;31.318687;33.044453000000004;16.205883;15.410857;11.861494
2010-01-05;22.188323999999998;10.087811;47.118328000000005;49.565478999999996;12.397347;31.121209999999998;34.72715;42.522087;27.45369;28.145164;62.732666;9.321873;11.07076;29.563007;18.179764000000002;25.568239000000002;36.96788;23.256262;17.128836;29.445890000000002;6.911554;51.509388;40.189037;28.804403000000004;5.048121;0.0002;83.20599399999999;70.668938;2.660116;20.043492999999998;16.942484;65.878395;42.997009000000006;67.509697;10.230495;24.509667999999998;51.018833;87.26971400000001;31.596220000000002;12.354868;21.031145000000002;30.574749;37.786701;53.833641;4.19939;31.166748;33.077202;16.34796;15.529656;11.858687
2010-01-06;21.924225;10.266012;47.07716;49.260222999999996;12.508475;31.666395;34.723091;42.589073;27.252544;28.703653000000003;63.56125600000001;9.320542;11.184188;29.970345000000002;18.226789;25.608122;36.905117;23.380381;17.114788;29.465173999999998;6.856378;50.253040000000006;40.193058;28.436228000000003;5.042009999999999;0.000202;87.014275;69.803604;2.699286;19.647406;16.83091;66.517578;43.584022999999995;66.916756;10.198741;24.458488;51.577587;86.945137;32.37149;12.282618;20.910971;30.445109999999996;37.859535;53.833641;4.24868;30.847675;34.395546;17.392019;15.757351000000002;11.731255
2010-01-07;21.700371;10.269888;47.068923999999996;49.200432;12.632939;31.421064;34.65015;43.33337;26.944921;28.403565999999998;64.090843;9.180693;11.057795;29.981358;18.470856;25.264469000000002;36.985817;23.060779999999998;16.909637;29.516546;7.041614999999999;49.082645;41.312218;28.787857000000002;5.035899;0.000204;85.35424;70.017891;2.707681;19.507407999999998;16.897028;67.274521;43.431583;67.097206;10.071725;24.931881;51.027431;85.952911;32.738499;12.244366000000001;21.016123;30.358683000000003;39.065395;54.681011;4.194203;30.786897999999997;33.417027000000004;17.646420000000003;15.942148999999999;11.695245
2010-01-08;21.714706;10.436467;48.106308;49.356007;12.757401;30.934931;34.569092;44.360512;27.209162;28.524437;64.876701;9.188684;11.093445;30.407035999999998;18.544746;25.859722;36.985817;23.070087;17.07263;29.548651;7.0468720000000005;49.089279;41.932190000000006;29.29668;5.023676999999999;0.000207;85.149185;72.243034;2.760841;19.507407999999998;17.091248;68.182846;43.873737;66.762062;10.005331;25.038498;50.640594;87.677719;32.482826;12.354868;20.899704;30.562963;39.470058;53.919102;4.178636;30.509597999999997;33.519379;17.514231;16.565845;11.556761999999999
2010-01-11;21.576954;10.370610000000001;47.809909999999995;49.050758;12.872972;31.316565;34.51236;43.735294;26.802940000000003;28.466086999999998;65.141525;9.12209;11.035110000000001;30.238236999999998;18.560420999999998;25.810629000000002;37.021683;23.2966;17.07263;29.709203999999996;6.819599;48.441257;42.028805;27.766069;4.9503379999999995;0.000206;84.358253;72.968262;2.7713330000000003;19.449360000000002;17.000335999999997;68.712723;44.597958;67.028458;9.985126;25.115265;50.288151;88.938866;32.338493;12.677871000000001;21.061193;30.280116999999997;38.952103;52.895512;4.117673;30.653952;33.478439;17.606783;16.701141;11.578917
2010-01-12;21.100482999999997;10.01033;46.912498;48.799408;12.535146000000001;31.521009000000003;34.723091;43.519451000000004;26.672790999999997;28.216016999999997;63.484364;9.050167;10.937883;29.768518;18.388006;25.779949;36.958915999999995;23.169382000000002;16.985512;29.317453000000004;6.8090839999999995;48.130489000000004;41.602074;27.948088000000002;4.925891;0.00021;83.684464;71.699097;2.672707;19.336681;16.768926999999998;66.736267;43.294296;66.598793;10.016879;24.944675;50.958656;88.716316;31.637461;12.269867999999999;20.967306;29.482653000000003;39.251545;52.591319999999996;4.040494;30.14115;32.897053;17.167278;16.546047;11.426578
2010-01-13;21.192291;9.886364;47.274757;49.320099;12.539589999999999;31.802691999999997;34.921669;43.206841;27.508905;28.557777;64.201904;8.962264;10.931402;30.062088;18.405918;25.580513;37.443092;23.330732;16.760687;28.999546000000002;6.949658;48.77187;40.410454;28.072196999999996;4.932002;0.00021099999999999998;83.21575899999999;73.71820799999999;2.608355;19.186435999999997;16.810251;67.240883;44.056705;67.59562700000001;10.048633;24.961729000000002;51.577587;88.716316;32.569431;12.486619000000001;21.098748999999998;29.148739000000003;38.717411;53.902302;4.064491;29.966421;33.535763;17.266422;16.585644;11.534606
2010-01-14;21.407597;9.994835;47.480587;48.931095;12.650717;32.17524;34.94194;43.660866;27.288044;29.291309000000002;64.41546600000001;8.924972;11.031869;30.436394;19.010494;25.242995999999998;37.658283000000004;23.510702;16.336334;28.816519;6.9207529999999995;48.864468;40.579533000000005;27.505449;4.895333;0.00021099999999999998;82.51268;73.981934;2.595064;19.336681;17.020998000000002;67.333405;45.970261;67.45813000000001;9.999557000000001;25.162178;51.560406;89.485977;32.631279;12.452618;21.372904000000002;29.266594;39.559078;53.395283;4.090433;30.277898999999998;33.077202;17.619963000000002;16.85294;11.645381
2010-01-15;21.264059;10.006457000000001;46.838402;47.877604999999996;12.828521;32.806751;34.532619;42.060615999999996;28.262199;28.245188;64.14208199999999;8.803769;10.785563;30.047413;18.950035;24.948437;37.483444;23.222128;15.937270000000002;28.132557000000002;6.692163000000001;48.156971;39.472454;27.513731;4.840330000000001;0.00021099999999999998;83.020462;72.869362;2.553096;19.490334;17.347454;66.786728;45.756756;66.693329;9.866767999999999;24.910559;51.345490000000005;88.5494;31.83952;12.53337;21.350365;28.51626;39.834247999999995;52.388565;4.014552;29.768894;32.721004;16.982267;16.588943;11.432133
